"Year","Rep.Name","Rep.Vote","Dem.Name","Dem.Vote","Third.Vote","Total.Vote","TurnOut","VAP","No.Vote","p.Rep","p.Dem","p.Third","p.NoVote","NonPopWinner","Won","No.Min","No.Max","Third.Min","Third.Max","Rep.Min","Rep.Max","Dem.Min","Dem.Max","p.Winning","P.Win"
1916,"Charles Hughes",8549700,"Woodrow Wilson",9130861,860757,18541318,0.618,30002133,11460815,0.284969738651582,0.304340394731268,0.0286898601509433,0.382,0,"D",0,0.382,0.382,0.410689860150943,0.410689860150943,0.695659598802525,0.695659598802525,1,NA,0.304340394731268
1920,"Warren Harding",16166126,"James Cox",9140256,1481843,26788225,0.492,54447612,27659387,0.296911570703964,0.16787248630849,0.0272159410774526,0.508,0,"R",0,0.508,0.508,0.535215941077453,0.703088429296036,1,0.535215941077453,0.703088427385943,NA,0.296911570703964
1924,"Calvin Coolidge",15719068,"John Davis",8384341,4989215,29092624,0.489,59494119,30401495,0.264212131622623,0.14092722341178,0.083860641755196,0.511,0,"R",0,0.511,0.511,0.594860641755196,0.735787868377377,1,0.594860641755196,0.735787865166976,NA,0.264212131622623
1928,"Herbert Hoover",21428584,"Alfred Smith",15015863,364514,36808961,0.569,64690617,27881656,0.331247172986463,0.232118098363477,0.0056347275216126,0.431,0,"R",0,0.431,0.431,0.436634727521613,0.668752827013537,1,0.436634727521613,0.668752825885089,NA,0.331247172986463
1932,"Herbert Hoover",15761532,"Franklin Roosevelt",22821513,1169409,39752454,0.569,69863715,30111261,0.22560397768713,0.326657593287159,0.016738431387452,0.431,0,"D",0,0.431,0.431,0.447738431387452,0.447738431387452,0.673342409074582,0.673342409074582,1,NA,0.326657593287159
1936,"Alfred Landon",16683574,"Franklin Roosevelt",27757431,1213383,45654388,0.61,74843259,29188871,0.2229135158318,0.370874162494714,0.0162123218070982,0.39,0,"D",0,0.39,0.39,0.406212321807098,0.406212321807098,0.629125837638898,0.629125837638898,1,NA,0.370874162494714
1940,"Wendell Willkie",22348343,"Franklin Roosevelt",27314449,250060,49912852,0.624,79988545,30075693,0.279394293270368,0.341479508097066,0.00312619763242349,0.376,0,"D",0,0.376,0.376,0.379126197632424,0.379126197632424,0.658520490902791,0.658520490902791,1,NA,0.341479508097066
1944,"Thomas Dewey",22017929,"Franklin Roosevelt",25612916,346247,47977092,0.559,85826640,37849548,0.256539566269867,0.298426176301437,0.00403426022503036,0.441,0,"D",0,0.441,0.441,0.44503426022503,0.44503426022503,0.701573826494897,0.701573826494897,1,NA,0.298426176301437
1948,"Thomas Dewey",21991292,"Harry Truman",24179347,2624071,48794710,0.522,93476456,44681746,0.23526022424299,0.258667776193826,0.0280719992208519,0.478,0,"D",0,0.478,0.478,0.506071999220852,0.506071999220852,0.741332223463842,0.741332223463842,1,NA,0.258667776193826
1952,"Dwight Eisenhower",34075529,"Adlai Stevenson",27375090,301323,61751942,0.623,99120292,37368350,0.343779546170021,0.27618048179277,0.00303997288466422,0.377,0,"R",0,0.377,0.377,0.380039972884664,0.656220453829979,1,0.380039972884664,0.656220454677434,NA,0.343779546170021
1956,"Dwight Eisenhower",35579180,"Adlai Stevenson",26028028,414771,62021979,0.602,103026543,41004564,0.345339938272024,0.252634197383484,0.00402586545100324,0.398,0,"R",0,0.398,0.398,0.402025865451003,0.654660061727976,1,0.402025865451003,0.654660062834487,NA,0.345339938272024
1960,"Richard Nixon",34108157,"John Kennedy",34220984,503342,68832483,0.638,107887904,39055421,0.316144402990719,0.31719018287722,0.00466541643074278,0.362,0,"D",0,0.362,0.362,0.366665416430743,0.366665416430743,0.682809819421462,0.682809819421462,1,NA,0.31719018287722
1964,"Barry Goldwater",27175754,"Lyndon Johnson",43129040,336745,70641539,0.628,112486527,41844988,0.241591190738781,0.383415162244275,0.00299364740810248,0.372,0,"D",0,0.372,0.372,0.374993647408102,0.374993647408102,0.616584838146883,0.616584838146883,1,NA,0.383415162244275
1968,"Richard Nixon",31783783,"Hubert Humphrey",31271839,10144377,73199999,0.625,117119998,43919999,0.271377933254405,0.267006826622384,0.086615242257774,0.375,0,"R",0,0.375,0.375,0.461615242257774,0.728622066745595,1,0.461615242257774,0.728622068880158,NA,0.271377933254405
1972,"Richard Nixon",47168710,"George McGovern",29173222,1402098,77744030,0.562,138334573,60590543,0.340975570871932,0.210888871576594,0.0101355573635233,0.438,0,"R",0,0.438,0.438,0.448135557363523,0.659024429128068,1,0.448135557363523,0.659024428940117,NA,0.340975570871932
1976,"Gerald Ford",39148634,"James Carter",40831881,1560265,81540780,0.548,148797044,67256264,0.263100885256833,0.274413253800929,0.0104858601895344,0.452,0,"D",0,0.452,0.452,0.462485860189534,0.462485860189534,0.725586745446368,0.725586745446368,1,NA,0.274413253800929
1980,"Ronald Reagan",43903230,"James Carter",35480115,7126333,86509678,0.542,159611952,73102274,0.275062296086699,0.222289838294816,0.0446478657187276,0.458,0,"R",0,0.458,0.458,0.502647865718728,0.724937703913301,1,0.502647865718728,0.724937704013544,NA,0.275062296086699
1984,"Ronald Reagan",54455472,"Walter Mondale",37577352,620409,92653233,0.552,167850060,75196827,0.324429267406875,0.223874522296864,0.00369620958133706,0.448,0,"R",0,0.448,0.448,0.451696209581337,0.675570732593125,1,0.451696209581337,0.675570731878201,NA,0.324429267406875
1988,"George Bush",48886597,"Michael Dukakis",41809476,898613,91594686,0.528,173474784,81880098,0.281808086874459,0.241011834895843,0.00518007850639549,0.472,0,"R",0,0.472,0.472,0.477180078506395,0.718191913125541,1,0.477180078506395,0.718191913402238,NA,0.281808086874459
1992,"George Bush",39104550,"William Clinton",44909806,20412255,104426611,0.581,179735991,75309380,0.217566608570901,0.249865403974655,0.113567988728535,0.419,0,"D",0,0.419,0.419,0.532567988728535,0.532567988728535,0.750134597299436,0.750134597299436,1,NA,0.249865403974655
1996,"Robert Dole",39198755,"William Clinton",47400125,9676760,96275640,0.517,186219807,89944167,0.210497237815309,0.254538578702318,0.051964182306343,0.483,0,"D",0,0.483,0.483,0.534964182306343,0.534964182306343,0.745461420121652,0.745461420121652,1,NA,0.254538578702318
2000,"George W. Bush",50462412,"Albert Gore Jr.",51009810,3953763,105425985,0.542,194512887,89086902,0.259429659280107,0.262243858423632,0.0203264835609581,0.458,1,"R",0,0.458,0.458,0.478326483560958,0.740570340719893,1,0.478326483560958,0.74057034198459,NA,0.259429659280107
2004,"George W. Bush",62039572,"John Kerry",59027115,1236903,122303590,0.601,203500150,81196560,0.304862536956361,0.290059319366595,0.00607814293994378,0.399,0,"R",0,0.399,0.399,0.405078142939944,0.695137463043639,1,0.405078142939944,0.695137462306539,NA,0.304862536956361
2008,"John S. McCain, III",59950323,"Barack H. Obama",69499428,2023954,131473705,0.616,213431339,81957634,0.280888098631101,0.325628974290416,0.00948292790310424,0.384,0,"D",0,0.384,0.384,0.393482927903104,0.393482927903104,0.674371026534205,0.674371026534205,1,NA,0.325628974290416
2012,"Willard Mitt Romney",60934407,"Barack H. Obama",65918507,2384728,129237642,0.586,220542051,91304409,0.276293825706736,0.298893143965547,0.0108130308446256,0.414,0,"D",0,0.414,0.414,0.424813030844626,0.424813030844626,0.701106856551361,0.701106856551361,1,NA,0.298893143965547
2016,"Donald J. Trump",62985134,"Hillary Clinton",65853652,8286698,137125484,0.602,227783196,90657712,0.276513522972959,0.289106717073194,0.0363797599889678,0.398,1,"R",0,0.398,0.398,0.434379759988968,0.723486477027041,1,0.434379759988968,0.723486477062162,NA,0.276513522972959
